Type of pest,Pest Name,UK,Likelihood (unmitigated),Impact (unmitigated),Risk Rating (unmitigated),Regulation,Likelihood (mitigated),Impact (mitigated),Risk Rating (mitigated),Scenario for Risk Register,Species,Regulated,Natural Spread
Fungus,Raffaelea lauricola ,Absent,3.0,2.0,6.0,Vector is regulated (non-European Scolytinae); now also specifically listed as a provisional quarantine pest (Great Britain),3.0,2.0,6.0,Pest is introduced,Raffaelea lauricola,No,No
Fungus,Raffaelea quercivora,Absent,2.0,4.0,40.0,Provisional quarantine pest (Great Britain),2.0,4.0,40.0,Pest is introduced with vector or finds vector,Raffaelea quercivora,No,No
Bacterium,Ralstonia pseudosolanacearum,Absent,3.0,3.0,36.0,Regulated quarantine pest; measures on some hosts,2.0,3.0,24.0,Pest is introduced,Ralstonia pseudosolanacearum,Yes,No
Bacterium,Ralstonia solanacearum,Present (Limited),4.0,5.0,100.0,Regulated quarantine pest.,2.0,3.0,30.0,Pest spreads to maximum extent,Ralstonia solanacearum,Yes,No
Bacterium,Ralstonia syzygii subsp. celebesensis,Absent,1.0,2.0,2.0,Regulated quarantine pest,1.0,2.0,2.0,Pest is introduced,Ralstonia syzygii,Yes,No
Bacterium,Ralstonia syzygii subsp. indonesiensis,Absent,2.0,3.0,30.0,Regulated quarantine pest,1.0,2.0,10.0,Pest is introduced,Ralstonia syzygii,Yes,No
Bacterium,Ralstonia syzygii subsp. syzygii,Absent,1.0,2.0,2.0,,1.0,2.0,2.0,Pest is introduced,Ralstonia syzygii,No,No
Fungus,Ramularia endophylla (synonym Mycosphaerella punctiformis),Present (Widespread),,,,,,,,,Ramularia endophylla,No,No
Virus or Viroid,Raspberry bushy dwarf virus,Present (Widespread),,,,,,,,,Raspberry bushy,No,No
Virus or Viroid,Raspberry latent virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Raspberry latent,Yes,No
Virus or Viroid,Raspberry leaf curl virus,Absent,4.0,5.0,80.0,Regulated quarantine pest,2.0,4.0,32.0,Pest is introduced,Raspberry leaf,Yes,No
Virus or Viroid,Raspberry leaf mottle virus,Present (Widespread),,,,,,,,,Raspberry leaf,No,No
Virus or Viroid,Raspberry ringspot virus,Present (Limited),2.0,4.0,40.0,Regulated non quarantine pest,1.0,3.0,15.0,Pest spreads to maximum extent,Raspberry ringspot,No,No
Virus or Viroid,Raspberry vein chlorosis virus,Present (Unknown Distribution),,,,,,,,,Raspberry vein,No,No
Virus or Viroid,Raspberry yellow spot agent,Absent,,,,,,,,,Raspberry yellow,No,No
Bacterium,Rathayibacter toxicus,Absent,2.0,2.0,20.0,,2.0,2.0,20.0,Pest is introduced,Rathayibacter toxicus,No,No
Fungus,Rhizoctonia fragariae,Unknown,3.0,3.0,45.0,Regulated non quarantine pest; prohibitions on key pathway (Fragaria planting material),2.0,3.0,30.0,Pest is introduced,Rhizoctonia fragariae,No,No
Fungus,Rhizoctonia solani,Present (Widespread),,,,,,,,,Rhizoctonia solani,No,No
Bacterium,Rhodococcus fascians,Present (Widespread),,,,,,,,,Rhodococcus fascians,No,No
Virus or Viroid,Rose rosette virus,Absent,3.0,4.0,36.0,Regulated quarantine pest (Great Britain); Northern Ireland: Emergency measures ,2.0,4.0,24.0,Pest is introduced with vector or finds vector,Rose rosette,Yes,No
Virus or Viroid,Rubus yellow net virus,Present (Widespread),,,,,,,,,Rubus yellow,No,No
Virus or Viroid,Satsuma dwarf virus,Absent,0.0,0.0,1.0,Regulated quarantine pest (Northern Ireland),0.0,0.0,1.0,Pest is introduced,Satsuma dwarf,Yes,No
Fungus,Sclerophora pallida,Present (Limited),,,,This species is not a plant pathogenic fungus but a lichen species.  Please note; there is a separate species; the cause of grapevine root rot pathogen - Roesleria subterranea - &quot;The name R. pallida had been miss-used frequently to refer to a fungus which is in reality R. subterranea (= Roesleria hypogaea) (Beckwith 1924). Dennis (1978) considered R. pallida as a synonym of R. hypogaea. However; the name Roesleria pallida (Pers.) Sacc. based on Calicium pallidum Pers. is not applicable to the grape root parasite (Redhead 1984; Beckwith 1924). Its current name is Sclerophora pallida (Pers.) Y.J. Yao &amp; Spooner. According to Redhead (1984); Dennis (1978) gave a description of R. subterranea under the name R. pallida. &quot; (http://www.padil.gov.au/pests-and-diseases/pest/main/136618/4410) Therefore; we are unclear if the correct organism has been legislated for.,,,,,Sclerophora pallida,No,No
Fungus,Sclerotinia sclerotiorum,Present (Widespread),,,,,,,,,Sclerotinia sclerotiorum,No,No
Fungus,Septoria malagutii,Absent,3.0,3.0,45.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Septoria malagutii,Yes,No
,Sirex nitobei,Absent,,,,Provisional quarantine pest (Great Britain),,,,,Sirex nitobei,No,No
Fungus,Sirococcus piceicola,Absent,4.0,2.0,40.0,Prohibition of Pica from outside Europe (Switzerland permitted),4.0,2.0,40.0,Pest is introduced,Sirococcus piceicola,No,No
Fungus,Sirococcus tsugae,Present (Unknown Distribution),5.0,4.0,60.0,,5.0,4.0,60.0,Pest spreads to maximum extent,Sirococcus tsugae,No,No
Virus or Viroid,Southern tomato virus,Unknown,5.0,1.0,15.0,,5.0,1.0,15.0,Pest spreads to maximum extent,Southern tomato,No,No
Fungus,Sphaerulina musiva,Absent,3.0,3.0,27.0,Regulated quarantine pest,2.0,3.0,18.0,Pest is introduced,Sphaerulina musiva,Yes,No
Virus or Viroid,Spiranthes Mosaic Virus 3 ,Unknown,4.0,2.0,16.0,,4.0,2.0,16.0,Pest is introduced,Spiranthes Mosaic,No,No
Bacterium,Spiroplasma citri,Absent,3.0,2.0,24.0,Regulated non quarantine pest (Northern Ireland),3.0,2.0,24.0,Pest is introduced,Spiroplasma citri,No,No
Fungus,Splanchnonema platani ,Present (Limited),4.0,3.0,48.0,,3.0,2.0,24.0,Pest spreads to maximum extent,Splanchnonema platani,No,Yes
Fungus,Spongospora subterranea,Present (Widespread),,,,,,,,,Spongospora subterranea,No,No
Virus or Viroid,Squash leaf curl virus,Absent,2.0,3.0,6.0,Regulated quarantine pest (as Begomoviruses),2.0,3.0,6.0,Pest is introduced,Squash leaf,Yes,No
Virus or Viroid,Squash vein yellowing virus,Absent,2.0,3.0,18.0,Regulated quarantine pest. Main vector is regulated (Bemisia tabaci),2.0,3.0,18.0,Pest is introduced,Squash vein,Yes,No
Fungus,Stagonosporopsis andigena,Absent,3.0,5.0,75.0,Regulated quarantine pest,1.0,5.0,25.0,Pest is introduced,Stagonosporopsis andigena,Yes,No
Fungus,Stagonosporopsis chrysanthemi,Present (Limited),4.0,4.0,48.0,,2.0,4.0,24.0,Pest spreads to maximum extent,Stagonosporopsis chrysanthemi,No,No
Fungus,Stegophora ulmea,Absent,3.0,3.0,27.0,Regulated quarantine pest,2.0,3.0,18.0,Pest is introduced,Stegophora ulmea,Yes,No
Fungus,Stemphylium vesicarium,Present (Widespread),3.0,3.0,36.0,,3.0,3.0,36.0,Pest spreads to maximum extent,Stemphylium vesicarium,No,No
Fungus,Stenocarpella macrospora,Absent,1.0,2.0,6.0,,1.0,2.0,6.0,Pest is introduced,Stenocarpella macrospora,No,No
Fungus,Stenocarpella maydis,Present (Unknown Distribution),3.0,2.0,18.0,,3.0,2.0,18.0,Pest is introduced,Stenocarpella maydis,No,No
Virus or Viroid,Strawberry chlorotic fleck-associated virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Strawberry chlorotic,Yes,No
Virus or Viroid,Strawberry crinkle virus,Present (Widespread),4.0,3.0,60.0,Regulated non quarantine pest,3.0,3.0,45.0,Pest spreads to maximum extent,Strawberry crinkle,No,No
Virus or Viroid,Strawberry latent C virus,Absent,0.0,0.0,,,0.0,0.0,0.0,Pest is introduced,Strawberry latent,No,No
Virus or Viroid,Strawberry latent ringspot virus,Present (Limited),2.0,3.0,30.0,Regulated non quarantine pest,1.0,3.0,15.0,Pest spreads to maximum extent,Strawberry latent,No,No
Virus or Viroid,Strawberry leaf curl virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Strawberry leaf,Yes,No
Virus or Viroid,Strawberry mild yellow edge virus,Present (Limited),4.0,3.0,60.0,Regulated non quarantine pest,2.0,3.0,30.0,Pest spreads to maximum extent,Strawberry mild,No,No
Virus or Viroid,Strawberry mottle virus,Present (Widespread),,,,,,,,,Strawberry mottle,No,No
Phytoplasma,Strawberry multiplier disease phytoplasma,Absent,,,,,,,,,Strawberry multiplier,No,No
Virus or Viroid,Strawberry necrotic shock virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Strawberry necrotic,Yes,No
Virus or Viroid,Strawberry vein banding virus,Present (Limited),4.0,3.0,60.0,Regulated quarantine pest (Great Britain) Northern Ireland: Regulated non quarantine pest,2.0,3.0,30.0,Pest is introduced,Strawberry vein,Yes,No
Phytoplasma,Strawberry witches broom phytoplasma,Absent,3.0,2.0,30.0,Regulated quarantine pest (Great Britain),2.0,2.0,20.0,Pest is introduced,Strawberry witches,Yes,No
Fungus,Stromatinia cepivora,Present (Widespread),,,,,,,,,Stromatinia cepivora,No,No
Virus or Viroid,Sweet potato chlorotic stunt virus,Absent,1.0,1.0,1.0,,1.0,1.0,1.0,Pest is introduced,Sweet potato,Yes,No
Phytoplasma,Sweet potato little leaf phytoplasma,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Sweet potato,Yes,No
Virus or Viroid,Sweet potato mild mottle virus,Absent,2.0,1.0,2.0,regulated quarantine pest,2.0,1.0,2.0,Pest is introduced,Sweet potato,Yes,No
Fungus,Synchytrium endobioticum,Present (Limited),3.0,3.0,45.0,Regulated quarantine pest.,1.0,3.0,15.0,Pest spreads to maximum extent,Synchytrium endobioticum,Yes,No
Bacterium,Syndrome des Basses Richesses ,Absent,1.0,3.0,15.0,,1.0,3.0,15.0,Pest is introduced,Syndrome des,No,Yes
Phytoplasma,Tanzanian lethal decline phytoplasma,Absent,0.0,0.0,1.0,Regulated quarantine pest (Northern Ireland; as 'Candidatus Phytoplasma cocostanzania'),0.0,0.0,1.0,Pest is introduced,Tanzanian lethal,Yes,No
Virus or Viroid,Temperate fruit decay-associated virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Temperate fruit,Yes,No
Phytoplasma,Texas Phoenix palm decline ,Absent,1.0,2.0,4.0,,1.0,2.0,4.0,Pest is introduced with vector or finds vector,Texas Phoenix,No,No
Fungus,Thecaphora solani,Absent,3.0,4.0,60.0,Regulated quarantine pest,1.0,4.0,20.0,Pest is introduced,Thecaphora solani,Yes,No
Fungus,Thekopsora minima,Present (Unknown Distribution),4.0,3.0,36.0,Regulated non-quarantine pest (Great Britain). Conifer prohibition from outside Europe. Vaccinium is a known host of Xylella;,4.0,3.0,36.0,Pest is introduced,Thekopsora minima,No,No
Fungus,Tilletia indica,Absent,4.0,4.0,80.0,Regulated quarantine pest,2.0,4.0,40.0,Pest is introduced,Tilletia indica,Yes,No
Virus or Viroid,Tobacco mild green mosaic virus,Absent,4.0,3.0,48.0,Regulated non quarantine pest (Great Britain). ,3.0,3.0,36.0,Pest is introduced,Tobacco mild,No,No
Virus or Viroid,Tobacco ringspot virus,Present (Unknown Distribution),4.0,2.0,24.0,Regulated quarantine pest,4.0,2.0,24.0,Pest spreads to maximum extent,Tobacco ringspot,Yes,No
Virus or Viroid,Tobacco streak ilarvirus potato strain,Absent,3.0,3.0,45.0,Regulated quarantine pest (as potato viruses; viroids and phytoplasmas),1.0,3.0,15.0,Pest is introduced,Tobacco streak,Yes,No
Virus or Viroid,Tobacco streak virus black raspberry latent strain ,Absent,4.0,1.0,16.0,Regulated quarantine pest (as Black raspberry latent virus in NI),2.0,1.0,8.0,Pest is introduced,Tobacco streak,Yes,No
Virus or Viroid,Tomato apical stunt viroid,Present (Unknown Distribution),5.0,3.0,45.0,Regulated non quarantine pest (Great Britain). ,3.0,3.0,27.0,Pest is introduced with vector or finds vector,Tomato apical,No,No
Virus or Viroid,Tomato black ring virus,Present (Limited),2.0,3.0,30.0,Regulated non quarantine pest,1.0,3.0,15.0,Pest spreads to maximum extent,Tomato black,No,No
Virus or Viroid,Tomato brown rugose fruit virus ,Absent,3.0,4.0,48.0,Regulated quarantine pest (Great Britain); Northern Ireland: emergency measures,3.0,4.0,48.0,Pest is introduced,Tomato brown,Yes,No
Virus or Viroid,Tomato chlorosis virus,Absent,4.0,3.0,36.0,Provisional quarantine pest (Great Britain),4.0,3.0,36.0,Pest is introduced,Tomato chlorosis,No,No
Virus or Viroid,Tomato chlorotic dwarf viroid,Present (Unknown Distribution),2.0,3.0,24.0,Regulated non quarantine pest (Great Britain). ,2.0,3.0,24.0,Pest spreads to maximum extent,Tomato chlorotic,No,No
Virus or Viroid,Tomato chocolate virus,Absent,2.0,3.0,18.0,Prohibition of key pathway (solanaceous planting material). Regulated quarantine pest.,1.0,3.0,9.0,Pest is introduced,Tomato chocolate,Yes,No
Virus or Viroid,Tomato infectious chlorosis virus,Absent,3.0,3.0,27.0,Provisional quarantine pest (Great Britain),3.0,3.0,27.0,Pest is introduced,Tomato infectious,No,No
Virus or Viroid,Tomato leaf curl New Delhi virus,Absent,4.0,3.0,48.0,Regulated quarantine pest. Also Bemisia tabaci requirements.,2.0,3.0,24.0,Pest is introduced with vector or finds vector,Tomato leaf,Yes,No
Virus or Viroid,Tomato marchitez virus,Absent,2.0,3.0,18.0,Prohibition of key pathway (solanaceous plants for planting). Regulated quarantine pest.,1.0,3.0,9.0,Pest is introduced,Tomato marchitez,Yes,No
Virus or Viroid,Tomato mild mottle virus,Absent,2.0,3.0,18.0,Prohibition of key pathway. Regulated quarantine pest. ,1.0,3.0,9.0,Pest is introduced,Tomato mild,Yes,No
Virus or Viroid,Tomato mosaic Havana virus,Absent,,,,Regulated quarantine pest (in Great Britain; under the category &quot;begomoviruses&quot;),,,,,Tomato mosaic,Yes,No
Virus or Viroid,Tomato mottle Taino virus,Absent,,,,Regulated quarantine pest (in Great Britain; under the category &quot;begomoviruses&quot;),,,,,Tomato mottle,Yes,No
Virus or Viroid,Tomato mottle mosaic virus,Absent,3.0,2.0,24.0,prohibition on Solanaceae planting material; though this does not apply to Europe ,3.0,2.0,24.0,Pest is introduced,Tomato mottle,No,No
Virus or Viroid,Tomato mottle virus,Absent,3.0,3.0,27.0,pathway prohibition.Regulated quarantine pest as a begomovirus.,1.0,3.0,9.0,Pest is introduced,Tomato mottle,Yes,No
Virus or Viroid,Tomato planta macho viroid,Absent,3.0,3.0,27.0,Regulated quarantine pest (Great Britain),2.0,3.0,18.0,Pest is introduced,Tomato planta,Yes,No
Virus or Viroid,Tomato ringspot virus,Present (Unknown Distribution),4.0,2.0,32.0,Regulated non quarantine pest (Great Britain); Northern Ireland: Regulated quarantine pest,3.0,2.0,24.0,Pest spreads to maximum extent,Tomato ringspot,Yes,No
Virus or Viroid,Tomato severe rugose virus,Absent,,,,Regulated quarantine pest (in Great Britain; under the category &quot;begomoviruses&quot;),,,,,Tomato severe,Yes,No
Virus or Viroid,Tomato spotted wilt virus,Present (Widespread),3.0,3.0,36.0,Regulated non quarantine pest,2.0,3.0,24.0,Pest spreads to maximum extent,Tomato spotted,No,No
Virus or Viroid,Tomato torrado virus,Absent,3.0,4.0,36.0,Provisional quarantine pest (Great Britain),3.0,4.0,36.0,Pest is introduced,Tomato torrado,No,No
Virus or Viroid,Tomato yellow leaf curl Sardinia virus,Absent,5.0,3.0,45.0,Bemisia tabaci listings. Virus is a provisional quarantine pest (Great Britain),2.0,3.0,18.0,Pest is introduced,Tomato yellow,No,No
Virus or Viroid,Tomato yellow leaf curl virus,Absent,5.0,4.0,80.0,Provisional quarantine pest (Great Britain). NI: Regulated non quarantine pest,2.0,4.0,32.0,Pest is introduced,Tomato yellow,No,No
Virus or Viroid,Tomato yellow ring virus,Absent,4.0,3.0,48.0,,4.0,3.0,48.0,Pest is introduced,Tomato yellow,No,No
Virus or Viroid,Tomato yellow vein streak begomovirus,Absent,,,,Regulated quarantine pest (in Great Britain; under the category &quot;begomoviruses&quot;),,,,,Tomato yellow,Yes,No
,Unknown,,,,,,,,,Pest is introduced,Unknown,No,No
,Urocerus japonicus,Absent,,,,Provisional quarantine pest (Great Britain),,,,,Urocerus japonicus,No,No
Fungus,Urocystis agropyri,Present (Widespread),2.0,1.0,10.0,,2.0,1.0,10.0,Pest spreads to maximum extent,Urocystis agropyri,No,No
Fungus,Venturia nashicola,Absent,3.0,3.0,9.0,Regulated quarantine pest (Northern Ireland),1.0,3.0,3.0,Pest is introduced,Venturia nashicola,Yes,No
Fungus,Verticillium albo-atrum,Present (Widespread),4.0,3.0,24.0,Regulated non quarantine pest,4.0,2.0,16.0,Pest spreads to maximum extent,Verticillium albo-atrum,No,No
Fungus,Verticillium albo-atrum (sensu stricto),Present (Widespread),4.0,3.0,60.0,Regulated non quarantine pest,2.0,3.0,30.0,Pest spreads to maximum extent,Verticillium albo-atrum,No,No
Fungus,Verticillium dahliae,Present (Widespread),4.0,3.0,60.0,Regulated non quarantine pest,2.0,3.0,30.0,Pest spreads to maximum extent,Verticillium dahliae,No,No
Fungus,Verticillium nonalfalfae,Present (Unknown Distribution),4.0,3.0,24.0,RNQP,2.0,3.0,12.0,Pest spreads to maximum extent,Verticillium nonalfalfae,No,No
Virus or Viroid,Watermelon silver mottle orthotospovirus,Absent,2.0,2.0,16.0,T. palmi is a quarantine pest,1.0,2.0,8.0,Pest is introduced,Watermelon silver,No,No
Virus or Viroid,Wheat dwarf virus,Present (Unknown Distribution),2.0,2.0,20.0,,2.0,2.0,20.0,Pest spreads to maximum extent,Wheat dwarf,No,Yes
Bacterium,Xanthomonas arboricola pv. corylina,Present (Limited),3.0,2.0,18.0,Regulated non quarantine pest,3.0,2.0,18.0,Pest spreads to maximum extent,Xanthomonas arboricola,No,No
Bacterium,Xanthomonas arboricola pv. juglandis,Present (Unknown Distribution),,,,,,,,,Xanthomonas arboricola,No,No
Bacterium,Xanthomonas arboricola pv. pruni,Absent,5.0,3.0,45.0,Regulated quarantine pest Great Britain. PZ Northern Ireland.,4.0,3.0,36.0,Pest is introduced,Xanthomonas arboricola,Yes,No
Bacterium,Xanthomonas axonopodis pv. allii,Absent,1.0,3.0,9.0,,1.0,3.0,9.0,Pest is introduced,Xanthomonas axonopodis,No,No
Bacterium,Xanthomonas axonopodis pv. citri,Absent,0.0,0.0,1.0,Regulated quarantine pest (NI),0.0,0.0,1.0,Pest is introduced,Xanthomonas axonopodis,Yes,No
Bacterium,Xanthomonas axonopodis pv. dieffenbachiae,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Xanthomonas axonopodis,No,No
Bacterium,Xanthomonas axonopodis pv. phaseoli,Unknown,2.0,3.0,18.0,Regulated non quarantine pest,2.0,3.0,18.0,Pest is introduced,Xanthomonas axonopodis,No,No
Bacterium,Xanthomonas axonopodis pv. poinsettiicola,Absent,4.0,3.0,36.0,,3.0,2.0,18.0,Pest is introduced,Xanthomonas axonopodis,No,No
Bacterium,Xanthomonas campestris pv. fici,Absent,2.0,2.0,4.0,Regulated non quarantine pest,2.0,2.0,4.0,Pest is introduced,Xanthomonas campestris,No,No
Bacterium,Xanthomonas dyei,Unknown,2.0,2.0,16.0,,2.0,2.0,16.0,Pest spreads to maximum extent,Xanthomonas dyei,No,No
Bacterium,Xanthomonas euvesicatoria,Absent,4.0,4.0,64.0,Regulated non quarantine pest,3.0,3.0,36.0,Pest is introduced,Xanthomonas euvesicatoria,No,No
Bacterium,Xanthomonas fragariae,Absent,4.0,2.0,40.0,Regulated non quarantine pest,3.0,2.0,30.0,Pest is introduced,Xanthomonas fragariae,No,No
Bacterium,Xanthomonas fuscans subsp. fuscans,Unknown,2.0,3.0,18.0,RNQP on vegetable seed of Phaseolus vulgaris; for which there is a 0% tolerance,2.0,3.0,18.0,Pest is introduced,Xanthomonas fuscans,No,No
Bacterium,Xanthomonas gardneri,Absent,3.0,4.0,48.0,Regulated non quarantine pest,2.0,3.0,24.0,Pest is introduced,Xanthomonas gardneri,No,No
Bacterium,Xanthomonas hydrangeae,Absent,4.0,2.0,16.0,,4.0,2.0,16.0,Pest is introduced,Xanthomonas hydrangeae,No,No
Bacterium,Xanthomonas oryzae pv. oryzae,Absent,0.0,0.0,1.0,Regulated quarantine pest (NI),0.0,0.0,1.0,Pest is introduced,Xanthomonas oryzae,Yes,No
Bacterium,Xanthomonas oryzae pv. oryzicola,Absent,0.0,0.0,1.0,Regulated quarantine pest (NI),0.0,0.0,1.0,Pest is introduced,Xanthomonas oryzae,Yes,No
Bacterium,Xanthomonas perforans,Absent,3.0,4.0,48.0,Regulated non quarantine pest,2.0,3.0,24.0,Pest is introduced,Xanthomonas perforans,No,No
Bacterium,Xanthomonas translucens pv. translucens,Absent,3.0,3.0,45.0,,2.0,3.0,30.0,Pest is introduced,Xanthomonas translucens,No,No
Bacterium,Xanthomonas vesicatoria,Absent,5.0,4.0,80.0,Regulated non quarantine pest,2.0,3.0,24.0,Pest is introduced,Xanthomonas vesicatoria,No,No
Bacterium,Xylella fastidiosa,Absent,4.0,3.0,60.0,QP for both GB and NI. Import regulations on planting material differ.,2.0,3.0,30.0,Pest is introduced,Xylella fastidiosa,Yes,No
Bacterium,Xylella taiwanensis,Absent,3.0,3.0,45.0,,2.0,3.0,30.0,Pest is introduced,Xylella taiwanensis,No,No
Bacterium,Xylophilus ampelinus,Absent,2.0,4.0,16.0,QP GB; RNQP NI,2.0,4.0,16.0,Pest is introduced,Xylophilus ampelinus,No,No
Phytoplasma,Yucatan lethal decline phytoplasma,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Yucatan lethal,No,No
